Table 4. Summary of main SARS impacts,Resource: https://www.sciencedirect.com/science/article/pii/S0168851008000638?via%3Dihub#tbl4,,,
,GDP (US$ billion),Growth,Exports and trade (US$ billion),"Tourism, food and travel (US$ billion)"
China,←,↓3% in Q2,↓7.12 (FDI) but 0 (Exports),↓5 (International) 3.5 (Domestic)
Hong Kong,↓3.7,↓4.75% in Q2,↓23.1 (Outward FDI),↓0.86 (Tourism) 0.2 (Hotels) 0.26 (Restaurants)
Canada,↓3.2–6.4,↓1% for 2003,↓5.2 (Investment Outflow),↓0.03 (Tourism) 6.25% (Airline) 4.33 (Accommodation and food)
Singapore,↓4.9,↓1% for 2003,←,↓0.2 (Hotels) 17.4% (Airline)
Malaysia,←,←,←,↓1.7
Vietnam,←,←,←,↓0.14 (Hotels and restaurants)
Thailand,←,?,←,←33.5 (Tourism)
United States,←,←,←,←
Taiwan,←,←,←,←
Australia,←,←,↓10.1% (2001–2002 decline also),↓0.119 (Accommodation and food)
Germany,←,←,←,←
Japan,←,?,↓0 Exports but 3.5 (FDI out) and 2.9 (FDI in) but 2001–2002 decline also,←
Mongolia,?,?,←,←
Philippines,←,?,↓1.2 or 3%,←
France,←,?,←Losses in Q1–3 = Iraq war?,←
Sweden,"↓Notable loss, probably not SARS",?,?,←
"KEY:↓ = SARS related loss, ← = no evidence of a loss, ? = missing data.",,,,
