Occupation,COVID-19 Risk Score
Dental Hygienists,99.7
Respiratory Therapy Technicians,95
Sports Medicine Physicians,94.6
Dental Assistants,92.5
Radiation Therapists,92.4
Oral and Maxillofacial Surgeons,92.3
"Dentists, General",92.1
Obstetricians and Gynecologists,91.8
Dermatologists,91.1
Orderlies (Patient Care Assistants),90.2
Acute Care Nurses,90.1
Family and General Practitioners,90.1
Ophthalmologists,88.4
Urologists,88.3
Registered Nurses,86.1
Hospitalists,85.3
"Pediatricians, General",85.1
Respiratory Therapists,84.2
Radiologic Technicians,84.1
Licensed Practical and Licensed Vocational Nurses,82.1
Critical Care Nurses,81.7
Orthodontists,81.3
Radiologic Technologists,81.2
Nurse Midwives,81.1
Surgical Technologists,80.7
Diagnostic Medical Sonographers,80.5
Allergists and Immunologists,80.3
Physical Therapist Aides,80.3
Physician Assistants,80
Acupuncturists,79.9
"Internists, General (Internal Medicine)",79.9
Cardiovascular Technologists and Technicians,79.3
Physical Therapist Assistants,79.3
Physical Therapists,78.7
Occupational Therapy Aides,78
Occupational Therapists,77.8
Surgical Assistants,77.7
Prosthodontists,76.9
Surgeons,76.3
Flight Attendants,75.7
Anesthesiologists,75.4
Chiropractors,75.1
Occupational Therapy Assistants,75
Veterinary Assistants and Laboratory Animal Caretakers,75
Nuclear Medicine Technologists,74.8
Naturopathic Physicians,74.6
Neurodiagnostic Technologists,74.5
Nursing Assistants,72.5
Medical Assistants,72.2
Orthoptists,72.2
Midwives,71.9
Emergency Medical Technicians and Paramedics,70.8
Nurse Anesthetists,70.8
Athletic Trainers,70.6
Podiatrists,70.2
Veterinarians,70.1
Neurologists,70
Psychiatric Technicians,69.8
Barbers,69.1
Physical Medicine and Rehabilitation Physicians,69
Psychiatric Aides,69
Ophthalmic Medical Technologists,68.5
Phlebotomists,68.2
Skincare Specialists,68.1
"Special Education Teachers, Preschool",67.4
"Bus Drivers, School or Special Client",67.3
Anesthesiologist Assistants,67.2
Home Health Aides,66.4
Veterinary Technologists and Technicians,66
Endoscopy Technicians,65.8
"Kindergarten Teachers, Except Special Education",65.8
Patient Representatives,65.1
Speech-Language Pathology Assistants,64.9
Personal Care Aides,64
Medical Equipment Preparers,63.9
Medical and Clinical Laboratory Technologists,63.7
Municipal Firefighters,63.3
First-Line Supervisors of Food Preparation and Serving Workers,62.9
Recreational Therapists,62.8
Hearing Aid Specialists,62.7
Pharmacy Technicians,62.5
Ophthalmic Medical Technicians,62.3
"Hairdressers, Hairstylists, and Cosmetologists",62.2
Clinical Nurse Specialists,62
Transportation Security Screeners,61.4
Dancers,61
First-Line Supervisors of Correctional Officers,61
Nurse Practitioners,60.9
Optometrists,60.9
Immigration and Customs Inspectors,60.8
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",60.7
Exercise Physiologists,60.7
Correctional Officers and Jailers,60.4
Social and Human Service Assistants,60.3
Sheriffs and Deputy Sheriffs,59
Pharmacy Aides,58.8
Municipal Fire Fighting and Prevention Supervisors,58.3
Healthcare Social Workers,58.2
Childcare Workers,58
"Special Education Teachers, Kindergarten and Elementary School",57.2
Pharmacists,56.9
Orthotists and Prosthetists,56.7
Shampooers,56.6
Music Therapists,56.1
Amusement and Recreation Attendants,56
Slot Supervisors,55.9
Teacher Assistants,55.8
"Education Administrators, Preschool and Childcare Center/Program",55.7
Magnetic Resonance Imaging Technologists,55.6
"Special Education Teachers, Middle School",55.6
Adapted Physical Education Specialists,55.2
"Preschool Teachers, Except Special Education",55.2
Gaming Dealers,55
Advanced Practice Psychiatric Nurses,54.2
"Elementary School Teachers, Except Special Education",53.8
Fire Investigators,53.8
Singers,52.9
Massage Therapists,52.8
Speech-Language Pathologists,52.7
Choreographers,52.4
Medical Secretaries,52.2
First-Line Supervisors of Police and Detectives,51.9
Police Patrol Officers,51.9
"Transportation Attendants, Except Flight Attendants",51.8
Transit and Railroad Police,51.6
"Morticians, Undertakers, and Funeral Directors",51.3
Pipelayers,51.3
"Ushers, Lobby Attendants, and Ticket Takers",51.2
Radiologists,51.1
Tellers,50.9
Bailiffs,50.7
"Opticians, Dispensing",50.6
Septic Tank Servicers and Sewer Pipe Cleaners,50.5
Actors,50.4
Dietetic Technicians,50.3
Gaming Surveillance Officers and Gaming Investigators,50.3
First-Line Supervisors of Personal Service Workers,50.2
Animal Control Workers,50.1
Audiologists,50
Manicurists and Pedicurists,49.5
Medical and Clinical Laboratory Technicians,49.3
Embalmers,49
Spa Managers,48.7
Nuclear Medicine Physicians,48.6
Substance Abuse and Behavioral Disorder Counselors,48.6
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",48.4
Recreation Workers,48
"Bus Drivers, Transit and Intercity",47.9
Police Detectives,47.9
Coroners,47.8
"Makeup Artists, Theatrical and Performance",47.8
Police Identification and Records Officers,47.7
"Food Servers, Nonrestaurant",47.6
Gaming Supervisors,47.2
"Stock Clerks, Sales Floor",47.2
"Airline Pilots, Copilots, and Flight Engineers",46.9
Interpreters and Translators,46.8
Subway and Streetcar Operators,46.7
"Middle School Teachers, Except Special and Career/Technical Education",46.6
Funeral Attendants,46.4
Licensing Examiners and Inspectors,45.9
Nonfarm Animal Caretakers,45.9
Aircraft Cargo Handling Supervisors,45.7
Dining Room and Cafeteria Attendants and Bartender Helpers,45.6
Forest Firefighters,45.6
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",45.3
Postal Service Clerks,45
Criminal Investigators and Special Agents,44.8
Gaming and Sports Book Writers and Runners,44.3
"Cooks, Institution and Cafeteria",44
Gaming Cage Workers,43.9
Dietitians and Nutritionists,43.7
Waiters and Waitresses,43.6
License Clerks,43.3
Bartenders,43.1
"Special Education Teachers, Secondary School",43.1
Structural Iron and Steel Workers,42.9
"Art, Drama, and Music Teachers, Postsecondary",42.8
Food Preparation Workers,42.8
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",42.7
First-Line Supervisors of Housekeeping and Janitorial Workers,42.6
Receptionists and Information Clerks,42.6
"Meeting, Convention, and Event Planners",42.4
Statement Clerks,42.2
"Locker Room, Coatroom, and Dressing Room Attendants",41.9
Reservation and Transportation Ticket Agents and Travel Clerks,41.8
Cashiers,41.7
Gaming Change Persons and Booth Cashiers,41.7
"Child, Family, and School Social Workers",41.6
Probation Officers and Correctional Treatment Specialists,41.6
Gaming Managers,41.2
"Switchboard Operators, Including Answering Service",41.2
Adhesive Bonding Machine Operators and Tenders,41.1
Couriers and Messengers,41.1
Credit Checkers,41
Tutors,41
Air Traffic Controllers,40.9
"Educational, Guidance, School, and Vocational Counselors",40.9
"Nursing Instructors and Teachers, Postsecondary",40.7
"Office Clerks, General",40.6
Maids and Housekeeping Cleaners,40.5
Rail-Track Laying and Maintenance Equipment Operators,40.2
Food Service Managers,40.1
Baristas,40
Telecommunications Line Installers and Repairers,40
"Interviewers, Except Eligibility and Loan",39.9
Community Health Workers,39.7
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",39.6
Clinical Research Coordinators,39.5
Quality Control Systems Managers,39.4
"Roustabouts, Oil and Gas",39.4
Commercial Pilots,39.2
"Derrick Operators, Oil and Gas",39.2
"Career/Technical Education Teachers, Secondary School",39.1
Radio Operators,38.9
Retail Salespersons,38.7
Ship and Boat Captains,38.6
"Career/Technical Education Teachers, Middle School",38.5
Histotechnologists and Histologic Technicians,38.3
New Accounts Clerks,38.3
"Tailors, Dressmakers, and Custom Sewers",38.3
Crossing Guards,38.2
Procurement Clerks,38.2
Driver/Sales Workers,38.1
Costume Attendants,38
Fire Inspectors,38
Loan Interviewers and Clerks,37.7
"Health Specialties Teachers, Postsecondary",37.6
First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,37.5
Elevator Installers and Repairers,37.4
"Administrative Law Judges, Adjudicators, and Hearing Officers",37.3
"Cooks, Restaurant",37.3
Fitness Trainers and Aerobics Instructors,37.3
"Secondary School Teachers, Except Special and Career/Technical Education",37.3
Telemarketers,37.3
Brokerage Clerks,37.2
Rough Carpenters,37.2
Tire Repairers and Changers,37.2
"Dispatchers, Except Police, Fire, and Ambulance",37.1
Chefs and Head Cooks,37
Stationary Engineers and Boiler Operators,37
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",37
Pile-Driver Operators,36.9
Real Estate Sales Agents,36.9
"Combined Food Preparation and Serving Workers, Including Fast Food",36.8
Counter and Rental Clerks,36.8
Parking Lot Attendants,36.8
Mental Health Counselors,36.6
Manufactured Building and Mobile Home Installers,36.5
"Radio, Cellular, and Tower Equipment Installers and Repairers",36.5
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",36.5
Construction Laborers,36.3
Postmasters and Mail Superintendents,36.3
"Meat, Poultry, and Fish Cutters and Trimmers",36.2
Microbiologists,36.2
Broadcast News Analysts,36.1
"Control and Valve Installers and Repairers, Except Mechanical Door",36.1
Coaches and Scouts,35.8
"Library Assistants, Clerical",35.8
"Musicians, Instrumental",35.8
"Roof Bolters, Mining",35.8
"Cooks, Short Order",35.4
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",35.4
Concierges,35.3
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",35.3
Fish and Game Wardens,35.2
Taxi Drivers and Chauffeurs,35.2
Forest Fire Fighting and Prevention Supervisors,35.1
General and Operations Managers,35.1
Helpers--Extraction Workers,35.1
"Railroad Brake, Signal, and Switch Operators",34.8
"Recreation and Fitness Studies Teachers, Postsecondary",34.8
"Maintenance and Repair Workers, General",34.7
Cement Masons and Concrete Finishers,34.6
"Wholesale and Retail Buyers, Except Farm Products",34.6
"Agents and Business Managers of Artists, Performers, and Athletes",34.5
Marriage and Family Therapists,34.5
Self-Enrichment Education Teachers,34.4
Cytogenetic Technologists,34.3
Funeral Service Managers,34.3
"Telecommunications Equipment Installers and Repairers, Except Line Installers",34.3
Civil Engineering Technicians,34.2
Copy Writers,34.2
Health Educators,34.2
Highway Maintenance Workers,34.1
"Insurance Appraisers, Auto Damage",34
"Eligibility Interviewers, Government Programs",33.9
"Packers and Packagers, Hand",33.9
"Service Unit Operators, Oil, Gas, and Mining",33.9
Helpers--Carpenters,33.8
Light Truck or Delivery Services Drivers,33.8
"Hotel, Motel, and Resort Desk Clerks",33.7
Retail Loss Prevention Specialists,33.7
Ship Engineers,33.6
Art Therapists,33.5
Demonstrators and Product Promoters,33.5
First-Line Supervisors of Animal Husbandry and Animal Care Workers,33.5
"Human Resources Assistants, Except Payroll and Timekeeping",33.5
Laundry and Dry-Cleaning Workers,33.5
Chief Executives,33.4
"Directors- Stage, Motion Pictures, Television, and Radio",33.2
Instructional Coordinators,33.2
Librarians,33.2
Motorboat Operators,33.2
Parts Salespersons,33.1
Rehabilitation Counselors,33.1
Boilermakers,33
Bill and Account Collectors,32.9
"Computer Science Teachers, Postsecondary",32.9
Fiberglass Laminators and Fabricators,32.9
Sailors and Marine Oilers,32.9
Securities and Commodities Traders,32.8
Transportation Managers,32.7
Electricians,32.6
Forest and Conservation Workers,32.5
Home Appliance Repairers,32.5
"Tank Car, Truck, and Ship Loaders",32.5
"Sales Agents, Financial Services",32.4
Farm Labor Contractors,32.3
Refuse and Recyclable Material Collectors,32.3
"Vocational Education Teachers, Postsecondary",32.3
Commercial Divers,32.2
Fishers and Related Fishing Workers,32.1
Loss Prevention Managers,32
"Police, Fire, and Ambulance Dispatchers",32
Producers,32
Gem and Diamond Workers,31.9
Nannies,31.9
"Tax Examiners and Collectors, and Revenue Agents",31.9
Construction Carpenters,31.8
"First-Line Supervisors of Mechanics, Installers, and Repairers",31.8
Food Cooking Machine Operators and Tenders,31.7
Government Property Inspectors and Investigators,31.7
"Refractory Materials Repairers, Except Brickmasons",31.7
Mental Health and Substance Abuse Social Workers,31.6
Mechanical Engineering Technologists,31.4
"Education Administrators, Elementary and Secondary School",31.3
Program Directors,31.3
Signal and Track Switch Repairers,31.3
Adult Basic and Secondary Education and Literacy Teachers and Instructors,31.2
Bakers,31.2
Fashion Designers,31.2
Plumbers,31.2
Real Estate Brokers,31.2
Technical Directors/Managers,31.2
Wind Turbine Service Technicians,31.2
Computer User Support Specialists,31.1
Dental Laboratory Technicians,31.1
Forensic Science Technicians,31.1
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",31.1
Mechanical Engineers,31.1
Baggage Porters and Bellhops,31
Preventive Medicine Physicians,31
"Billing, Cost, and Rate Clerks",30.9
Psychiatrists,30.9
"Directors, Religious Activities and Education",30.8
First-Line Supervisors of Production and Operating Workers,30.8
Floral Designers,30.8
Solar Energy Installation Managers,30.8
Tour Guides and Escorts,30.8
Order Clerks,30.7
Court Clerks,30.6
Customer Service Representatives,30.6
First-Line Supervisors of Construction Trades and Extraction Workers,30.6
Marking Clerks,30.6
Mine Cutting and Channeling Machine Operators,30.6
Clergy,30.5
"Farmworkers, Farm, Ranch, and Aquacultural Animals",30.4
Sales Managers,30.4
Cargo and Freight Agents,30.3
Models,30.3
Agricultural Inspectors,30.2
Music Directors,30.2
Credit Authorizers,30.1
Lodging Managers,30.1
"Pilots, Ship",30.1
Sheet Metal Workers,30
First-Line Supervisors of Retail Sales Workers,29.8
"Judges, Magistrate Judges, and Magistrates",29.8
"Mail Clerks and Mail Machine Operators, Except Postal Service",29.8
Nuclear Power Reactor Operators,29.8
"Buyers and Purchasing Agents, Farm Products",29.7
Refrigeration Mechanics and Installers,29.7
Stonemasons,29.7
Airfield Operations Specialists,29.6
Computer Network Support Specialists,29.6
Photographic Process Workers and Processing Machine Operators,29.5
Clinical Psychologists,29.4
Emergency Management Directors,29.4
