TABLE 2. SELECTED VACCINES UNDER DEVELOPMENT FOR COVID-19,,,
Sponsor,Modality,Status,Partners
Altimmune,Single-dose intranasal replication-defective adenovirus vector vaccine incorporating the SARS-CoV-2 S protein,Design and synthesis completed; moving toward animal testing and manufacture. Phase 1 trial planned for mid-August.,None
Arcturus,"Self-transcribing and replicating RNA (STARR) vaccine expressing undisclosed epitope(s) delivered by lipid nanoparticle comprising 50% ionizable amino lipid or MC3, 7% 1,2-distearoyl-sn-glycero-3-phosphocholine, 40% cholesterol and 3% 1,2-dimyristoyl-sn-glycerol, methoxypolyethylene glycol",Manufacturing stage,Duke-NUS Medical School (Singapore) will provide rapid screening technology; $10 million in funding from Singapore government
"BioNTech (Mainz, Germany)",mRNA vaccine (BNT162) expressing codon-optimized undisclosed SARS-CoV-2 protein(s) encapsulated in 80-nm ionizable cationic lipid/phosphatidylcholine/ cholesterol/polyethylene glycol–lipid nanoparticles,Clinical testing to begin late April,"Pfizer extends 2018 influenza agreement to work on COVID-19 candidate; Fosun Pharma, which paid $50 million in equity with a further $85 million in milestones, will collaborate in running clinical trials in China"
"(Sichuan) Clover Biopharmaceuticals (Chengdu, China)",Recombinant SARS-CoV-2 S protein trimer subunit vaccine,In preclinical testing with GlaxoSmithKline’s pandemic adjuvant technology,"Partnered with GlaxoSmithKline, which provides pandemic adjuvants platform comprising squalene, dl-α-tocopherol and polysorbate 80"
Codagenix,Computationally designed and recoded live attenuated SARS-CoV-2 vaccine,Multiple codon-deoptimized SARS-CoV-2 vaccine candidate genomes designed on the basis of multiple genome sequences,Serum Institute of India to scale-up manufacture
"CureVac (Tübingen, Germany)",Protamine-complexed mRNA-based vaccine expressing undisclosed SARS-CoV-2 protein(s),Phase 1 in June or July,$8.3 million in funding from CEPI
Generex Biotechnology,Undisclosed SARS-CoV-2-derived synthetic peptide conjugated at N terminus to the C terminus of the key moiety of the major histocompatibility complex class II–associated invariant chain (Ii protein) containing a four-amino-acid (LRMK) modification (Ii-Key),Human trials in June,EpiVax provides epitope prediction; Institute of Shandong Academy of Sciences tests the reactivity of candidate peptides in blood samples collected from convalescent patients
GeoVax,Modified vaccinia Ankara virus-like particle vaccine based on Wuhan strain of SARS-CoV-2,Candidates in animal studies,"BravoVax (Wuhan, China) to provide manufacturing and clinical testing"
Heat Biologics,Heat-shock protein gp96 complexed with undisclosed SARS-CoV-2 peptide(s),Program announced March 3,
iBio,Platform based on Agrobacterium-transformed tobacco for producing virus-like particle with undisclosed SARS-CoV-2 peptide(s) combined with its lichenase carrier immunostimulatory adjuvant,Program announced in February,"Partnering with Beijing CC- Pharming, which has previous MERS vaccine experience"
Inovio Pharmaceuticals,Electroporated DNA vaccine INO-4800 encoding SARS-CoV-2 S protein,"Trials to begin in April in United States followed by China and South Korea; 3,000 doses available",Beijing Advaccine Biotechnology partnering for trials in China and Gates Foundation for Celletra electroporation device; funding from CEPI ($9 million) and Gates Foundation ($5 million)
Janssen (Johnson & Johnson),Single-dose intranasal recombinant adenovirus vaccine incorporating undisclosed SARS-CoV-2 protein using human retinal cell line (Per.Co6) scale-up technology,Seven constructs being tested in mice; phase 1 testing anticipated in October 2020 to February 2021,BARDA
LineaRx,Electroporated linear DNA vaccine,Four candidates of linear DNA vaccine based on S protein and selected epitopes ready for testing by the beginning of May or June,Takis Biotech (Rome) to clinical test candidates in Italy
Medicago (Quebec City),Undisclosed recombinant SARS-CoV-2 protein virus-like particles produced in tobacco,Virus-like particles produced within 20 days; preclinical testing ongoing with clinical trials to begin summer 2020,Laval University Infectious Disease Research Centre
Moderna,"mRNA vaccine encoding SARS-CoV-2 S protein encapsulated in ionizable lipid, distearoyl phosphatidylcholine, cholesterol and polyethylene glycol lipid",Phase 1 testing under way,"NIAID, CEPI"
Novavax,Nanoparticle vaccine displaying SARS-CoV 2 S protein with saponin-based (Matrix-M) adjuvant,Animal testing of candidates underway,$4 million in funding from CEPI
Sanofi (Paris),Recombinant vaccine of undisclosed SARS-CoV-2 protein(s) expressed in baculovirus system,Advancing preclinical candidate; clinical trial to begin between March and August 2021,BARDA
Tonix Pharmaceuticals,Live-attenuated modified horsepox vaccine expressing undisclosed SARS-CoV-2 protein(s) (TNX-1800),Pre-IND in February 2020,Collaboration with non-profit Southern Research
"University of Queensland (Brisbane, Australia)",Recombinant subunit vaccine of SARS-CoV-2 S protein locked in prefusion conformation by polypeptide moiety (molecular clamp),Preclinical as of mid-March,"CEPI; Dynavax Technologies to provide Toll-like receptor 9 agonist adjuvant CpG 1018; GlaxoSmithKline to provide pandemic adjuvants platform (squalene, dl-α-tocopherol and polysorbate 80); CSL (Parkville, Australia) to provide MF59 adjuvant (containing squalene in citric acid buffer with stabilizing nonionic surfactants Tween 80 and Span 85)"
Vaxart,Oral recombinant adenovirus 5 vector vaccine of undisclosed SARS-CoV-2 protein(s) aimed at mucosal immune response,Preclinical as of mid-March,
"Vaxil Biotherapeutics (Ness Ziona, Israel)",Human signal peptide domain complexed with undisclosed SARS-CoV-2 protein(s) as vaccine,Vaccine candidate identified by in silico analysis as of mid-March,
"Zydus Cadila (Ahmedabad, India)",Electroporated DNA vaccine and live attenuated recombinant measles vaccine vector of undisclosed SARS-CoV-2 protein(s),,
"Sources: BioWorld, company sites, Thomsen Cortellis, PubMed",,,
